subject;palette;user_answer;time;ref;left;right;true_answer;correct;incorrect;baseline;luminance_left;luminance_right;luminance_total;luminance_diff;lab_left;lab_right;lab_total;lab_diff;ucs_left;ucs_right;ucs_total;ucs_diff;name_left;name_right;name_total;name_diff;sal_left;sal_right;sal_ref;create_time
59ab5b0b6592220933cba933;viridis;a;817;0.2;0.1;0.25;b;false;1;0.05;8.405;3.828;12.233;4.577;18.385;10.654;28.840;7.731;12.425;6.030;18.297;6.395;0.580;0.033;0.798;0.547;0.411;0.372;0.318;Sat Sep 02 2017 18:30:56 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;37209;0.5;0.1;0.7;b;false;1;0.20;31.100;14.708;45.807;16.392;80.215;44.205;120.379;36.010;46.678;24.399;67.156;22.279;0.965;0.712;0.999;0.253;0.411;0.358;0.228;Sat Sep 02 2017 18:31:33 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;1296;0.2;0.1;0.4;a;true;0;0.10;8.405;14.990;23.395;6.585;18.385;42.326;59.896;23.941;12.425;24.002;35.348;11.577;0.580;0.183;0.895;-0.397;0.411;0.224;0.318;Sat Sep 02 2017 18:31:35 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;775;0.5;0.3;0.9;a;true;0;0.20;15.168;29.310;44.478;14.142;42.027;88.366;120.599;46.339;24.918;47.240;68.450;22.322;0.635;0.897;1.000;0.262;0.365;0.202;0.228;Sat Sep 02 2017 18:31:35 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;861;0.7;0.65;0.8;a;true;0;0.05;3.711;7.047;10.758;3.336;12.421;25.096;36.954;12.675;6.419;12.144;18.473;5.725;0.036;0.025;0.098;-0.011;0.315;0.436;0.358;Sat Sep 02 2017 18:31:36 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;733;0.4;0.3;0.6;a;true;0;0.10;7.463;14.850;22.312;7.387;21.117;41.549;62.404;20.432;12.349;24.419;36.313;12.070;0.077;0.620;0.900;0.543;0.365;0.278;0.224;Sat Sep 02 2017 18:31:37 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;b;1756;0.5;0.4;0.55;b;true;0;0.05;7.705;3.383;11.089;4.322;20.984;9.789;30.741;11.195;12.749;5.653;18.361;7.096;0.316;0.010;0.392;0.306;0.224;0.241;0.228;Sat Sep 02 2017 18:31:39 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;b;2291;0.8;0.7;0.85;b;true;0;0.05;7.047;3.862;10.909;3.185;25.096;14.795;39.372;10.301;12.144;6.534;18.566;5.610;0.025;0.045;0.106;-0.020;0.358;0.297;0.436;Sat Sep 02 2017 18:31:41 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;1924;0.45;0.05;0.65;b;false;1;0.20;31.516;15.006;46.522;16.510;73.520;43.327;113.446;30.193;45.658;24.757;65.900;20.901;0.986;0.647;1.000;0.339;0.510;0.315;0.226;Sat Sep 02 2017 18:31:43 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;729;0.1;0;0.15;b;false;1;0.05;8.514;4.200;12.713;4.314;13.045;8.032;19.756;5.013;12.086;6.065;17.975;6.021;0.026;0.010;0.060;0.016;0.480;0.339;0.411;Sat Sep 02 2017 18:31:44 GMT-0700 (PDT)
